State,Population,% of nation,Density (0000s),Inc. (10000s),% College grad,Poverty rate,Gini,(Benefits/Tax Ratio)/10,Gun owner %,%white,%white evangelical,% nonreligious,% urban,% obese,Life Exp. (00s),% Union,RTW,Region,Democratic Vote,% Business Owner (Gallup 2013,% Smoker (Gallup ,HS or less _Gallup 2012),Some college(Gallup 2012),College Graduate(Gallup 2012),Post Graduate(Gallup 2012),Not enough money for healthcare(Gallup 2012),Not enough money for food
Alabama,4863300,0.0151,0.0095,0.4142,0.235,0.167,0.472,0.196,0.517,0.67,0.461,0.11,0.59,0.33,0.754,0.098,Yes,South,0.358,0.09,0.19,0.48,0.28,0.13,0.1,0.22,0.24
Alaska,741894,0.0023,0.0001,0.6783,0.28,0.1,0.422,0.109,0.578,0.641,0.26,0.27,0.66,0.257,0.783,0.235,No,West,0.398,0.17,0.17,0.38,0.33,0.16,0.12,0.19,0.19
Arizona,6931071,0.0215,0.0057,0.4671,0.275,0.152,0.455,0.16,0.311,0.578,0.2,0.17,0.898,0.26,0.796,0.088,Yes,West,0.456,0.12,0.14,0.39,0.32,0.16,0.12,0.2,0.21
Arkansas,2988248,0.0093,0.0056,0.3876,0.211,0.159,0.458,0.108,0.553,0.745,0.44,0.08,0.562,0.345,0.76,0.059,Yes,South,0.359,0.11,0.23,0.45,0.31,0.14,0.09,0.22,0.23
California,39250017,0.1217,0.0243,0.5729,0.314,0.132,0.471,0.109,0.213,0.401,0.15,0.18,0.95,0.25,0.808,0.184,No,West,0.626,0.12,0.12,0.42,0.28,0.16,0.13,0.2,0.21
Colorado,5540545,0.0172,0.0049,0.5539,0.381,0.114,0.457,0.078,0.347,0.7,0.25,0.21,0.862,0.205,0.8,0.08,No,West,0.518,0.15,0.15,0.32,0.29,0.21,0.17,0.17,0.16
Connecticut,3576452,0.0111,0.0741,0.6575,0.376,0.097,0.486,0.073,0.167,0.712,0.073,0.14,0.88,0.256,0.808,0.169,No,Northeast,0.571,0.12,0.13,0.33,0.26,0.21,0.19,0.15,0.15
Delaware,952065,0.003,0.0471,0.5881,0.3,0.092,0.44,0.071,0.255,0.653,0.26,0.23,0.833,0.269,0.784,0.122,No,Northeast,0.570,0.11,0.18,0.43,0.27,0.14,0.16,0.18,0.21
Florida,20612439,0.0639,0.0365,0.443,0.273,0.111,0.474,0.139,0.245,0.579,0.246,0.14,0.912,0.252,0.794,0.064,Yes,South,0.487,0.12,0.15,0.43,0.29,0.16,0.11,0.22,0.21
Georgia,10310371,0.032,0.0173,0.4601,0.288,0.144,0.468,0.111,0.403,0.559,0.327,0.09,0.751,0.291,0.772,0.037,Yes,South,0.457,0.12,0.17,0.43,0.27,0.17,0.13,0.22,0.22
Hawaii,1428557,0.0044,0.0217,0.6182,0.308,0.086,0.433,0.152,0.067,0.227,0.08,0.18,0.919,0.236,0.815,0.243,No,West,0.687,0.15,0.13,0.4,0.3,0.16,0.13,0.18,0.16
Idaho,1683140,0.0052,0.0019,0.4334,0.259,0.099,0.433,0.161,0.553,0.84,0.251,0.23,0.706,0.268,0.795,0.071,Yes,West,0.323,0.16,0.17,0.36,0.37,0.16,0.1,0.18,0.15
Illinois,12801539,0.0397,0.0232,0.5323,0.323,0.115,0.465,0.092,0.202,0.637,0.225,0.13,0.885,0.281,0.79,0.166,No,Midwest,0.585,0.11,0.16,0.41,0.27,0.17,0.14,0.17,0.18
